type,state,regiment,brigade,division,corps,army,men,killed,wounded,captured,missing,total_casualties,3inch_rifles,4.5inch_rifles,10lb_parrots,12lb_howitzers,12lb_napoleons,6lb_howitzers,24lb_howitzers,20lb_parrots,12lb_whitworths,14lb_rifles,Total Guns
Infantry,Pennsylvania,105th,Graham,Birney,Sickles,Union,274,20,106,1,4,131,,,,,,,,,,,0
Infantry,Pennsylvania,114th,Graham,Birney,Sickles,Union,259,20,74,1,54,149,,,,,,,,,,,0
Infantry,Pennsylvania,141st,Graham,Birney,Sickles,Union,209,48,91,2,12,153,,,,,,,,,,,0
Infantry,US,1st_Sharp,Ward,Birney,Sickles,Union,312,10,34,3,10,57,,,,,,,,,,,0
Infantry,US,2nd_Sharp,Ward,Birney,Sickles,Union,169,7,21,2,17,47,,,,,,,,,,,0
Infantry,Indiana,20th,Ward,Birney,Sickles,Union,401,40,98,0,22,160,,,,,,,,,,,0
Infantry,Maine,3rd,Ward,Birney,Sickles,Union,210,31,52,3,40,126,,,,,,,,,,,0
Infantry,Maine,4th,Ward,Birney,Sickles,Union,287,24,47,7,67,145,,,,,,,,,,,0
Infantry,New York,86th,Ward,Birney,Sickles,Union,287,20,44,1,5,70,,,,,,,,,,,0
Infantry,New York,124th,Ward,Birney,Sickles,Union,238,35,58,2,2,97,,,,,,,,,,,0
Infantry,Pennsylvania,99th,Ward,Birney,Sickles,Union,277,44,60,3,7,114,,,,,,,,,,,0
Infantry,Maine,17th,de Trobriand,Birney,Sickles,Union,350,41,93,1,1,136,,,,,,,,,,,0
Infantry,Michigan,3rd,de Trobriand,Birney,Sickles,Union,238,12,25,0,6,43,,,,,,,,,,,0
Infantry,Michigan,5th,de Trobriand,Birney,Sickles,Union,216,30,74,1,7,112,,,,,,,,,,,0
Infantry,New York,40th,de Trobriand,Birney,Sickles,Union,431,39,121,1,7,168,,,,,,,,,,,0
Infantry,Pennsylvania,110th,de Trobriand,Birney,Sickles,Union,152,18,34,0,0,52,,,,,,,,,,,0
Infantry,Massachusetts,1st,Carr ,Humphreys,Sickles,Union,321,35,77,0,32,144,,,,,,,,,,,0
Infantry,Massachusetts,11th,Carr ,Humphreys,Sickles,Union,286,38,91,0,17,146,,,,,,,,,,,0
Infantry,Massachusetts,16th,Carr ,Humphreys,Sickles,Union,245,20,50,1,21,92,,,,,,,,,,,0
Infantry,New Hampshire,12th,Carr ,Humphreys,Sickles,Union,224,26,60,1,19,106,,,,,,,,,,,0
Infantry,New Jersey,11th,Carr ,Humphreys,Sickles,Union,275,38,112,0,6,156,,,,,,,,,,,0
Infantry,Pennsylvania,26th,Carr ,Humphreys,Sickles,Union,365,62,146,1,6,215,,,,,,,,,,,0
Infantry,New York,70th,Brewster,Humphreys,Sickles,Union,288,42,79,0,0,121,,,,,,,,,,,0
Infantry,New York,71st,Brewster,Humphreys,Sickles,Union,243,17,66,0,9,92,,,,,,,,,,,0
Infantry,New York,72nd,Brewster,Humphreys,Sickles,Union,305,15,85,1,10,111,,,,,,,,,,,0
Infantry,New York,73rd,Brewster,Humphreys,Sickles,Union,349,59,88,1,8,156,,,,,,,,,,,0
Infantry,New York,74th,Brewster,Humphreys,Sickles,Union,266,22,68,2,0,92,,,,,,,,,,,0
Infantry,New York,120th,Brewster,Humphreys,Sickles,Union,383,49,151,0,10,210,,,,,,,,,,,0
Infantry,New Hampshire,2nd,Burling,Humphreys,Sickles,Union,354,47,104,12,30,193,,,,,,,,,,,0
Infantry,New Jersey,5th,Burling,Humphreys,Sickles,Union,206,22,59,1,11,93,,,,,,,,,,,0
Infantry,New Jersey,6th,Burling,Humphreys,Sickles,Union,207,6,29,0,6,41,,,,,,,,,,,0
Infantry,New Jersey,7th,Burling,Humphreys,Sickles,Union,275,24,78,0,12,114,,,,,,,,,,,0
Infantry,New Jersey,8th,Burling,Humphreys,Sickles,Union,170,15,31,1,1,48,,,,,,,,,,,0
Infantry,Pennsylvania,115th,Burling,Humphreys,Sickles,Union,151,6,16,0,3,25,,,,,,,,,,,0
Artillery,US,Bty_K_4th_Light,Randolph,Artillery_Bde,Sickles,Union,113,4,17,0,4,25,,,,,6,,,,,,6
Artillery,New Jersey,Bty_B_1st_Light,Randolph,Artillery_Bde,Sickles,Union,131,3,14,0,3,20,,,6,,,,,,,,6
Artillery,New York,Bty_D_1st_Light,Randolph,Artillery_Bde,Sickles,Union,116,1,9,0,8,18,,,,,6,,,,,,6
Artillery,New York,Bty_4th_ Light,Randolph,Artillery_Bde,Sickles,Union,126,2,10,0,1,13,,,6,,,,,,,,6
Artillery,Rhode Island,Bty_E_1st_Light,Randolph,Artillery_Bde,Sickles,Union,108,5,23,1,1,30,,,,,6,,,,,,6
Infantry,Massachusetts,18th,Tilton,Barnes,Sykes,Union,139,2,14,1,3,20,,,,,,,,,,,0
Infantry,Massachusetts,22nd,Tilton,Barnes,Sykes,Union,137,11,23,0,3,37,,,,,,,,,,,0
Infantry,Michigan,1st,Tilton,Barnes,Sykes,Union,145,8,33,0,6,47,,,,,,,,,,,0
Infantry,Pennsylvania,118th,Tilton,Barnes,Sykes,Union,233,6,9,0,5,20,,,,,,,,,,,0
Infantry,Massachusetts,9th,Sweitzer,Barnes,Sykes,Union,412,2,11,0,2,15,,,,,,,,,,,0
Infantry,Massachusetts,32nd,Sweitzer,Barnes,Sykes,Union,242,22,62,1,3,88,,,,,,,,,,,0
Infantry,Michigan,4th,Sweitzer,Barnes,Sykes,Union,342,43,61,7,67,178,,,,,,,,,,,0
Infantry,Pennsylvania,62nd,Sweitzer,Barnes,Sykes,Union,426,37,102,1,31,171,,,,,,,,,,,0
Infantry,Maine,20th,Vincent,Barnes,Sykes,Union,386,43,88,1,4,136,,,,,,,,,,,0
Infantry,Michigan,16th,Vincent,Barnes,Sykes,Union,263,26,32,0,4,62,,,,,,,,,,,0
Infantry,New York,44th,Vincent,Barnes,Sykes,Union,391,37,74,1,2,114,,,,,,,,,,,0
Infantry,Pennsylvania,83rd,Vincent,Barnes,Sykes,Union,295,17,35,0,0,52,,,,,,,,,,,0
Infantry,US,3rd,Day,Ayres,Sykes,Union,300,24,50,0,0,74,,,,,,,,,,,0
Infantry,US,4th,Day,Ayres,Sykes,Union,173,17,23,0,0,40,,,,,,,,,,,0
Infantry,US,6th,Day,Ayres,Sykes,Union,150,11,33,0,0,44,,,,,,,,,,,0
Infantry,US,12th,Day,Ayres,Sykes,Union,415,14,67,0,12,93,,,,,,,,,,,0
Infantry,US,14th,Day,Ayres,Sykes,Union,513,41,88,0,3,132,,,,,,,,,,,0
Infantry,US,2nd,Burbank,Ayres,Sykes,Union,197,16,48,0,4,68,,,,,,,,,,,0
Infantry,US,7th,Burbank,Ayres,Sykes,Union,116,20,31,0,2,53,,,,,,,,,,,0
Infantry,US,10th,Burbank,Ayres,Sykes,Union,93,21,26,0,3,50,,,,,,,,,,,0
Infantry,US,11th,Burbank,Ayres,Sykes,Union,286,38,76,0,8,122,,,,,,,,,,,0
Infantry,US,17th,Burbank,Ayres,Sykes,Union,260,38,107,0,6,151,,,,,,,,,,,0
Infantry,New York,140th,Weed,Ayres,Sykes,Union,453,40,76,0,1,117,,,,,,,,,,,0
Infantry,New York,146th,Weed,Ayres,Sykes,Union,460,5,18,0,0,23,,,,,,,,,,,0
Infantry,Pennsylvania,91st,Weed,Ayres,Sykes,Union,222,5,17,0,0,22,,,,,,,,,,,0
