type,state,regiment,brigade,division,corps,army,men,killed,wounded,captured,missing,total_casualties,3inch_rifles,4.5inch_rifles,10lb_parrots,12lb_howitzers,12lb_napoleons,6lb_howitzers,24lb_howitzers,20lb_parrots,12lb_whitworths,14lb_rifles,Total Guns
Infantry,Pennsylvania,155th,Weed,Ayres,Sykes,Union,365,6,17,0,1,24,,,,,,,,,,,0
Infantry,Pennsylvania,1st_Reserves_30th,McCandless,Crawford,Sykes,Union,382,13,32,0,0,45,,,,,,,,,,,0
Infantry,Pennsylvania,2nd_Reserves_31st,McCandless,Crawford,Sykes,Union,235,11,28,0,0,39,,,,,,,,,,,0
Infantry,Pennsylvania,6th_Reserves_35th,McCandless,Crawford,Sykes,Union,327,3,21,0,0,24,,,,,,,,,,,0
Infantry,Pennsylvania,13th_Reserves_42nd,McCandless,Crawford,Sykes,Union,301,12,43,2,2,59,,,,,,,,,,,0
Infantry,Pennsylvania,5th_Reserves_34th,Fisher,Crawford,Sykes,Union,288,0,2,1,0,3,,,,,,,,,,,0
Infantry,Pennsylvania,9th_Reserves_38th,Fisher,Crawford,Sykes,Union,325,0,5,0,0,5,,,,,,,,,,,0
Infantry,Pennsylvania,10th_Reserves_39th,Fisher,Crawford,Sykes,Union,401,2,3,0,0,5,,,,,,,,,,,0
Infantry,Pennsylvania,11th_Reserves_40th,Fisher,Crawford,Sykes,Union,327,5,37,0,0,42,,,,,,,,,,,0
Infantry,Pennsylvania,12th_Reserves_41st,Fisher,Crawford,Sykes,Union,276,1,1,1,0,3,,,,,,,,,,,0
Artillery,US,Bty_D_5th,Martin,Artillery_Bde,Sykes,Union,68,7,6,0,0,13,,,6,,,,,,,,6
Artillery,US,Bty_I_5th,Martin,Artillery_Bde,Sykes,Union,71,4,14,3,1,22,4,,,,,,,,,,4
Artillery,Massachusetts,Bty_C_Light,Martin,Artillery_Bde,Sykes,Union,115,0,6,0,0,6,,,,,6,,,,,,6
Artillery,New York,Bty_C_1st_Light,Martin,Artillery_Bde,Sykes,Union,62,0,0,0,0,0,4,,,,,,,,,,4
Artillery,Ohio,Bty_L_1st_Light,Martin,Artillery_Bde,Sykes,Union,113,0,3,0,0,3,,,,,6,,,,,,6
Infantry,New Jersey,1st,Torbert,Wright,Sedgwick,Union,292,0,0,0,0,0,,,,,,,,,,,0
Infantry,New Jersey,2nd,Torbert,Wright,Sedgwick,Union,357,1,5,0,0,6,,,,,,,,,,,0
Infantry,New Jersey,3rd,Torbert,Wright,Sedgwick,Union,295,0,2,0,0,2,,,,,,,,,,,0
Infantry,New Jersey,15th,Torbert,Wright,Sedgwick,Union,413,1,2,0,0,3,,,,,,,,,,,0
Infantry,Maine,5th,Bartlett,Wright,Sedgwick,Union,307,1,2,0,0,3,,,,,,,,,,,0
Infantry,New York,121st,Bartlett,Wright,Sedgwick,Union,429,0,13,0,0,13,,,,,,,,,,,0
Infantry,Pennsylvania,95th,Bartlett,Wright,Sedgwick,Union,323,1,2,0,0,3,,,,,,,,,,,0
Infantry,Pennsylvania,96th,Bartlett,Wright,Sedgwick,Union,323,0,3,0,0,3,,,,,,,,,,,0
Infantry,Maine,6th,Russell,Wright,Sedgwick,Union,395,0,0,0,0,0,,,,,,,,,,,0
Infantry,Pennsylvania,49th,Russell,Wright,Sedgwick,Union,289,0,0,0,0,0,,,,,,,,,,,0
Infantry,Pennsylvania,119th,Russell,Wright,Sedgwick,Union,423,0,2,0,0,2,,,,,,,,,,,0
Infantry,Wisconsin,5th,Russell,Wright,Sedgwick,Union,439,0,0,0,0,0,,,,,,,,,,,0
Infantry,Vermont,2nd,Grant,Howe,Sedgwick,Union,465,0,0,0,0,0,,,,,,,,,,,0
Infantry,Vermont,3rd,Grant,Howe,Sedgwick,Union,381,0,0,0,0,0,,,,,,,,,,,0
Infantry,Vermont,4th,Grant,Howe,Sedgwick,Union,399,1,0,0,0,0,,,,,,,,,,,0
Infantry,Vermont,5th,Grant,Howe,Sedgwick,Union,309,0,0,0,0,0,,,,,,,,,,,0
Infantry,Vermont,6th,Grant,Howe,Sedgwick,Union,346,0,0,0,0,0,,,,,,,,,,,0
Infantry,Maine,7th,Neill,Howe,Sedgwick,Union,216,3,5,0,0,8,,,,,,,,,,,0
Infantry,New York,33rd_detachment,Neill,Howe,Sedgwick,Union,79,0,0,0,0,0,,,,,,,,,,,0
Infantry,New York,43rd,Neill,Howe,Sedgwick,Union,370,3,2,2,7,16,,,,,,,,,,,0
Infantry,New York,49th,Neill,Howe,Sedgwick,Union,376,0,4,0,0,4,,,,,,,,,,,0
Infantry,New York,77th,Neill,Howe,Sedgwick,Union,385,0,0,0,0,0,,,,,,,,,,,0
Infantry,Pennsylvania,61st,Neill,Howe,Sedgwick,Union,386,0,1,1,0,2,,,,,,,,,,,0
Infantry,New York,65th,Shaler,Newton,Sedgwick,Union,290,4,8,0,0,12,,,,,,,,,,,0
Infantry,New York,67th,Shaler,Newton,Sedgwick,Union,349,0,0,0,1,1,,,,,,,,,,,0
Infantry,New York,122nd,Shaler,Newton,Sedgwick,Union,414,14,34,0,1,49,,,,,,,,,,,0
Infantry,Pennsylvania,23rd,Shaler,Newton,Sedgwick,Union,489,1,13,0,0,14,,,,,,,,,,,0
Infantry,Pennsylvania,82nd,Shaler,Newton,Sedgwick,Union,291,0,6,0,0,6,,,,,,,,,,,0
Infantry,Massachusetts,7th,Eustis,Newton,Sedgwick,Union,335,0,6,0,0,6,,,,,,,,,,,0
Infantry,Massachusetts,10th,Eustis,Newton,Sedgwick,Union,378,1,7,0,2,10,,,,,,,,,,,0
Infantry,Massachusetts,37th,Eustis,Newton,Sedgwick,Union,591,7,26,0,17,50,,,,,,,,,,,0
Infantry,Rhode Island,2nd,Eustis,Newton,Sedgwick,Union,364,1,5,0,1,7,,,,,,,,,,,0
Infantry,New York,62nd,Wheaton,Newton,Sedgwick,Union,237,2,16,0,0,18,,,,,,,,,,,0
Infantry,Pennsylvania,93rd,Wheaton,Newton,Sedgwick,Union,245,1,9,0,0,10,,,,,,,,,,,0
Infantry,Pennsylvania,98th,Wheaton,Newton,Sedgwick,Union,368,2,10,0,0,12,,,,,,,,,,,0
Infantry,Pennsylvania,102nd,Wheaton,Newton,Sedgwick,Union,103,0,0,0,0,0,,,,,,,,,,,0
Infantry,Pennsylvania,139th,Wheaton,Newton,Sedgwick,Union,464,4,17,2,0,23,,,,,,,,,,,0
Artillery,Massachusetts,Bty_A_1st_Light,Tompkins,Artillery_Bde,Sedgwick,Union,135,0,0,0,0,0,,,,,6,,,,,,6
Artillery,New York,Bty_1_Light,Tompkins,Artillery_Bde,Sedgwick,Union,103,5,7,0,0,12,6,,,,,,,,,,6
Artillery,New York,Bty_3_Light,Tompkins,Artillery_Bde,Sedgwick,Union,111,0,0,0,0,0,,,6,,,,,,,,6
Artillery,Rhode Island,Bty_C_1st_Light,Tompkins,Artillery_Bde,Sedgwick,Union,116,0,1,0,0,1,6,,,,,,,,,,6
Artillery,Rhode Island,Bty_G_1st_Light,Tompkins,Artillery_Bde,Sedgwick,Union,126,0,0,0,0,0,,,6,,,,,,,,6
Artillery,US,Bty_D_2nd,Tompkins,Artillery_Bde,Sedgwick,Union,126,0,0,0,0,0,,,,,6,,,,,,6
Artillery,US,Bty_G_2nd,Tompkins,Artillery_Bde,Sedgwick,Union,101,0,0,0,0,0,,,,,6,,,,,,6
Artillery,US,Bty_F_5th,Tompkins,Artillery_Bde,Sedgwick,Union,116,0,0,0,0,0,,,6,,,,,,,,6
Infantry,New York,41st,von Gilsa,Barlow,Howard,Union,218,22,54,0,2,78,,,,,,,,,,,0
Infantry,New York,54th,von Gilsa,Barlow,Howard,Union,189,10,43,28,20,101,,,,,,,,,,,0
Infantry,New York,68th,von Gilsa,Barlow,Howard,Union,232,14,65,21,50,150,,,,,,,,,,,0
Infantry,Pennsylvania,153rd,von Gilsa,Barlow,Howard,Union,499,63,145,56,5,269,,,,,,,,,,,0
Infantry,Connecticut,17th,Ames,Barlow,Howard,Union,386,38,69,90,0,197,,,,,,,,,,,0
Infantry,Ohio,25th,Ames,Barlow,Howard,Union,220,20,99,2,69,190,,,,,,,,,,,0
Infantry,Ohio,75th,Ames,Barlow,Howard,Union,269,37,60,63,31,191,,,,,,,,,,,0
Infantry,Ohio,107th,Ames,Barlow,Howard,Union,458,55,96,68,6,225,,,,,,,,,,,0
Infantry,New York,134th,Coster,von Steinwehr,Howard,Union,400,70,130,30,45,275,,,,,,,,,,,0
Infantry,New York,154th,Coster,von Steinwehr,Howard,Union,240,11,22,174,2,209,,,,,,,,,,,0
Infantry,Pennsylvania,27th,Coster,von Steinwehr,Howard,Union,284,17,24,19,51,111,,,,,,,,,,,0
Infantry,Pennsylvania,73rd,Coster,von Steinwehr,Howard,Union,291,8,26,0,0,34,,,,,,,,,,,0
Infantry,Massachusetts,33rd,Smith,von Steinwehr,Howard,Union,493,9,35,0,0,44,,,,,,,,,,,0
Infantry,New York,136th,Smith,von Steinwehr,Howard,Union,484,27,80,2,1,110,,,,,,,,,,,0
Infantry,Ohio,55th,Smith,von Steinwehr,Howard,Union,329,11,26,12,0,49,,,,,,,,,,,0
Infantry,Ohio,73rd,Smith,von Steinwehr,Howard,Union,338,49,82,1,2,134,,,,,,,,,,,0
Infantry,Illinois,82nd,Schimmelfennig,Schurz,Howard,Union,318,8,17,83,1,109,,,,,,,,,,,0
Infantry,New York,45th,Schimmelfennig,Schurz,Howard,Union,375,16,36,87,88,227,,,,,,,,,,,0
Infantry,New York,157th,Schimmelfennig,Schurz,Howard,Union,409,33,170,101,10,314,,,,,,,,,,,0
Infantry,Ohio,61st,Schimmelfennig,Schurz,Howard,Union,247,8,40,6,8,62,,,,,,,,,,,0
Infantry,Pennsylvania,74th,Schimmelfennig,Schurz,Howard,Union,334,16,36,4,54,110,,,,,,,,,,,0
Infantry,New York,58th,Krzyzanowski,Schurz,Howard,Union,195,4,14,2,2,22,,,,,,,,,,,0
Infantry,New York,119th,Krzyzanowski,Schurz,Howard,Union,263,60,56,19,15,150,,,,,,,,,,,0
Infantry,Ohio,82nd,Krzyzanowski,Schurz,Howard,Union,312,37,70,47,18,172,,,,,,,,,,,0
Infantry,Pennsylvania,75th,Krzyzanowski,Schurz,Howard,Union,208,33,70,9,2,114,,,,,,,,,,,0
Infantry,Wisconsin,26th,Krzyzanowski,Schurz,Howard,Union,446,59,130,50,1,240,,,,,,,,,,,0
Artillery,New York,Bty_I_1st_Light,Osborn,Artillery_Bde,Howard,Union,141,4,10,0,0,14,6,,,,,,,,,,6
